vx,vy
0.14016809512466374,-0.30243020836284107
0.08677519636735026,-0.6314595517949587
-0.11006103026884645,-0.9004699809507675
-0.3758217925788349,-0.9266829949524862
-0.2469555527165397,-0.9689822976281369
-0.05632555780973353,-0.9984226771378172
0.03204727700733284,-0.9995167886245139
-0.024564763059480035,-0.9997072188468201
-0.07802442776085369,-0.7762743485224668
-0.09001830931137518,-0.5317417373620993
0.06834790777719142,-0.2667265508763084
-0.006527715863316269,0.0328271887612821
0.0008771566468100036,-0.0035032409290165697
-0.00011874493999914195,0.00041331875326420034
1.4033943459317553e-05,-4.8702674803112066e-05
-1.65472235476472e-06,5.741553559907302e-06
1.949981340641865e-07,-6.769807402786531e-07
-2.29944756485987e-08,7.980669399092192e-08
2.7095897030079156e-09,-9.410083243371584e-09
-3.192918843959229e-10,1.1095521010355135e-09
3.7625458708894514e-11,-1.3082910012151694e-10
-4.431967292409002e-12,1.542809601174093e-11
5.242087013799278e-13,-1.8202207983447806e-12
-6.326869228152686e-14,2.1392270413733357e-13
4.828219582146925e-15,-2.5272584130724164e-14
6.133612407947276e-16,3.4671782834845438e-15
3.5136382132539877e-15,-2.2335230110578296e-16
-1.892892976720034e-15,-1.4215282306833667e-15
1.5559407489319238e-15,1.194463360315923e-15
3.3329110466311077e-16,-2.1639367258465038e-16
-1.0429861809282279e-15,1.5038643393640118e-15
1.0585561637673663e-15,-5.304068343196188e-16
9.365435342121137e-16,8.400700826619869e-16
-4.987846244065992e-15,-1.971182688905068e-15
7.067645201585422e-15,7.873227883975295e-16
-2.3249693385320053e-15,-1.0377807707444693e-15
9.11699225234853e-16,1.6136167699867942e-15
-4.970542393273626e-15,-1.7599597884071285e-15
6.090182088837302e-15,3.6624426563020227e-16
1.4809043280172384e-15,1.3366938778189908e-15
-2.2996494735122686e-15,-1.7309780881332284e-16
-1.5626058887399757e-15,-1.768636023241996e-15
-9.445768733527884e-16,2.426193953954701e-15
-9.088600860110952e-16,-3.040971539760515e-16
4.806539287494749e-15,-1.1938037828336358e-15
-4.743819543337049e-15,-1.2495808918579263e-15
6.138200441808644e-16,4.1968048920303933e-16
4.688983358489193e-16,2.202519093962155e-16
7.488515193944692e-16,2.0724531852447893e-15
-1.962407981667279e-15,-1.7215081187394904e-15
-5.36937815854762e-16,1.8361443336944406e-16
3.940185663735949e-15,1.3473589144347552e-15
-3.3141231037402764e-15,-2.2423044776259438e-15
3.323061799690936e-15,1.475937178560245e-15
-3.072014667984727e-15,-7.941345988621294e-16
-9.13327088463248e-16,-2.718119381746743e-16
1.3321811448293663e-15,5.309618930644571e-16
3.6210263661432e-15,-1.349565103008936e-15
-4.701294996953517e-15,1.4059770046692967e-15
6.009411062606333e-15,-1.2117379013475951e-15
-4.668537992673035e-15,1.8457636241398923e-15
9.53342763745735e-16,-1.852668861366398e-15
-4.415074979282584e-16,3.1346996861885285e-15
3.589982110987804e-15,-1.0532545307162966e-15
-3.1014810971996407e-15,-1.174267087795132e-15
2.380180744292685e-15,3.1235414967467877e-16
-1.3657874954610483e-15,3.8364341062031356e-16
-1.6749260860122678e-15,-1.9211241985627534e-15
4.037809322487589e-16,2.4180777489594744e-15
1.8857513044379706e-16,1.5776963526045768e-16
8.677138100787628e-16,-1.40036539144107e-15
-1.9434601273727214e-15,1.317641059537465e-15
3.1294695819545564e-15,1.6406673734938829e-15
-1.3347600503041106e-15,-2.8599038002350584e-15
-1.5172223307060388e-15,1.3300936723387127e-15
5.492137964003887e-16,2.027774251303279e-16
-9.213809279994539e-16,-2.4117216704238342e-15
9.02439828532521e-16,-1.7563909505004533e-16
-4.430809922090757e-16,2.5313260492053824e-15
1.0292702173583975e-15,-2.9427729249487124e-15
-3.0285988451705854e-16,2.488939190532229e-15
-1.868553860146159e-16,1.6043530154533035e-16
-4.558690953347378e-15,-6.608111033578758e-16
1.9209634415825344e-15,-1.6995632711295277e-16
-6.210871508951517e-17,3.57313941996133e-16
5.58328895365108e-17,-6.975791218411617e-16
3.356018227062459e-15,1.8260860504813667e-16
-2.7013530895857307e-15,-7.921831830020067e-17
1.1180195897391166e-16,7.052290797138066e-16
1.581981439837899e-15,-1.841864428398256e-15
-8.264973935772978e-16,7.224275928448082e-16
1.522295217119391e-15,1.2336112962125894e-15
-1.5646277971159464e-15,4.438758844328234e-16
1.3424283955273982e-15,-1.8750716626646274e-15
1.0018352699624723e-15,8.616571612236014e-16
-4.031223893895998e-15,2.902189964976415e-16
-4.416520056612256e-16,7.047250949337923e-17
2.8762326579806495e-15,-2.2175786942792048e-16
3.617864826715908e-15,1.8112265811110588e-15
-6.559821801568323e-15,-9.335576857162764e-16
