x,y,nominal_x,nominal_y
21.0,43.0,21.0,43.0
21.0,42.900002,21.0,42.969
21.0,42.800003,21.0,42.938
21.0,42.700005,21.0,42.907
21.0,42.600006,21.0,42.876
21.0,42.500008,21.0,42.845
21.0,42.400009,21.0,42.814
21.0,42.300011,21.0,42.783
21.0,42.200012,21.0,42.752
21.0,42.100014,21.0,42.721
21.0,42.000015,21.0,42.69
21.0,41.900017,21.0,42.659
21.0,41.800018,21.0,42.628
21.0,41.70002,21.0,42.597
21.0,41.600021,21.0,42.566
21.0,41.500023,21.0,42.535
21.0,41.400024,21.0,42.504
21.0,41.300026,21.0,42.473
21.0,41.200027,21.0,42.442
21.0,41.100029,21.0,42.411
21.0,41.000031,21.0,42.38
21.0,40.900032,21.0,42.349
21.0,40.800034,21.0,42.318
21.0,40.700035,21.0,42.287
21.0,40.600037,21.0,42.256
21.0,40.500038,21.0,42.225
21.0,40.40004,21.0,42.194
21.0,40.300041,21.0,42.163
21.0,40.200043,21.0,42.132
21.0,40.100044,21.0,42.101
21.0,40.000046,21.0,42.07
21.0,39.900047,21.0,42.039
21.0,39.800049,21.0,42.008
21.0,39.70005,21.0,41.977
21.0,39.600052,21.0,41.946
21.0,39.500053,21.0,41.915
21.0,39.400055,21.0,41.884
21.0,39.300056,21.0,41.853
21.0,39.200058,21.0,41.822
21.0,39.10006,21.0,41.791
21.0,39.000061,21.0,41.76
21.0,38.900063,21.0,41.729
21.0,38.800064,21.0,41.698
21.0,38.700066,21.0,41.667
21.0,38.600067,21.0,41.636
21.0,38.500069,21.0,41.605
21.0,38.40007,21.0,41.574
21.0,38.300072,21.0,41.543
21.0,38.200073,21.0,41.512
21.0,38.100075,21.0,41.481
21.0,38.000076,21.0,41.45
21.0,37.900078,21.0,41.419
21.0,37.800079,21.0,41.388
21.0,37.700081,21.0,41.357
21.0,37.600082,21.0,41.326
21.0,37.500084,21.0,41.295
21.0,37.400085,21.0,41.264
21.0,37.300087,21.0,41.233
21.0,37.200089,21.0,41.202
21.0,37.10009,21.0,41.171
21.0,37.000092,21.0,41.14
21.0,36.900093,21.0,41.109
21.0,36.800095,21.0,41.078
21.0,36.700096,21.0,41.047
21.0,36.600098,21.0,41.016
21.0,36.500099,21.0,40.985
21.0,36.400101,21.0,40.954
21.0,36.300102,21.0,40.923
21.0,36.200104,21.0,40.892
21.0,36.100105,21.0,40.861
21.0,36.000107,21.0,40.83
21.0,35.900108,21.0,40.799
21.0,35.80011,21.0,40.768
21.0,35.700111,21.0,40.737
21.0,35.600113,21.0,40.706
21.0,35.500114,21.0,40.675
21.0,35.400116,21.0,40.644
21.0,35.300117,21.0,40.613
21.0,35.200119,21.0,40.582
21.0,35.100121,21.0,40.551
21.0,35.000122,21.0,40.52
21.0,34.900124,21.0,40.489
21.0,34.800125,21.0,40.458
21.0,34.700127,21.0,40.427
21.0,34.600128,21.0,40.396
21.0,34.50013,21.0,40.365
21.0,34.400131,21.0,40.334
21.0,34.300133,21.0,40.303
21.0,34.200134,21.0,40.272
21.0,34.100136,21.0,40.241
21.0,34.000137,21.0,40.21
21.0,33.900139,21.0,40.179
21.0,33.80014,21.0,40.148
21.0,33.700142,21.0,40.117
21.0,33.600143,21.0,40.086
21.0,33.500145,21.0,40.055
21.0,33.400146,21.0,40.024
21.0,33.300148,21.0,39.993
21.0,33.20015,21.0,39.962
21.0,33.100151,21.0,39.931
21.0,33.000153,21.0,39.9
21.0,32.900154,21.0,39.869
21.0,32.800156,21.0,39.838
21.0,32.700157,21.0,39.807
21.0,32.600159,21.0,39.775999999999996
21.0,32.50016,21.0,39.745
21.0,32.400162,21.0,39.714
21.0,32.300163,21.0,39.683
21.0,32.200165,21.0,39.652
21.0,32.100166,21.0,39.621
21.0,32.000168,21.0,39.59
21.0,31.900167,21.0,39.559
21.0,31.800167,21.0,39.528
21.0,31.700167,21.0,39.497
21.0,31.600166,21.0,39.466
21.0,31.500166,21.0,39.435
21.0,31.400166,21.0,39.403999999999996
21.0,31.300165,21.0,39.373
21.0,31.200165,21.0,39.342
21.0,31.100164,21.0,39.311
21.0,31.000164,21.0,39.28
21.0,30.900164,21.0,39.249
21.0,30.800163,21.0,39.218
21.0,30.700163,21.0,39.187
21.0,30.600163,21.0,39.156
21.0,30.500162,21.0,39.125
21.0,30.400162,21.0,39.094
21.0,30.300161,21.0,39.063
21.0,30.200161,21.0,39.032
21.0,30.100161,21.0,39.001
21.0,30.00016,21.0,38.97
21.0,29.90016,21.0,38.939
21.0,29.800159,21.0,38.908
21.0,29.700159,21.0,38.877
21.0,29.600159,21.0,38.846000000000004
21.0,29.500158,21.0,38.815
21.0,29.400158,21.0,38.784
21.0,29.300158,21.0,38.753
21.0,29.200157,21.0,38.722
21.0,29.100157,21.0,38.691
21.0,29.000156,21.0,38.66
21.0,28.900156,21.0,38.629
21.0,28.800156,21.0,38.598
21.0,28.700155,21.0,38.567
21.0,28.600155,21.0,38.536
21.0,28.500154,21.0,38.505
21.0,28.400154,21.0,38.474000000000004
21.0,28.300154,21.0,38.443
21.0,28.200153,21.0,38.412
21.0,28.100153,21.0,38.381
21.0,28.000153,21.0,38.35
21.0,27.900152,21.0,38.319
21.0,27.800152,21.0,38.288
21.0,27.700151,21.0,38.257
21.0,27.600151,21.0,38.226
21.0,27.500151,21.0,38.195
21.0,27.40015,21.0,38.164
21.0,27.30015,21.0,38.133
21.0,27.20015,21.0,38.102000000000004
21.0,27.100149,21.0,38.071
21.0,27.000149,21.0,38.04
21.0,26.900148,21.0,38.009
21.0,26.800148,21.0,37.978
21.0,26.700148,21.0,37.947
21.0,26.600147,21.0,37.916
21.0,26.500147,21.0,37.885
21.0,26.400146,21.0,37.854
21.0,26.300146,21.0,37.823
21.0,26.200146,21.0,37.792
21.0,26.100145,21.0,37.761
21.0,26.000145,21.0,37.730000000000004
21.0,25.900145,21.0,37.699
21.0,25.800144,21.0,37.668
21.0,25.700144,21.0,37.637
21.0,25.600143,21.0,37.606
21.0,25.500143,21.0,37.575
21.0,25.400143,21.0,37.544
21.0,25.300142,21.0,37.513
21.0,25.200142,21.0,37.482
21.0,25.100142,21.0,37.451
21.0,25.000141,21.0,37.42
21.0,24.900141,21.0,37.389
21.0,24.80014,21.0,37.358
21.0,24.70014,21.0,37.327
21.0,24.60014,21.0,37.296
21.0,24.500139,21.0,37.265
21.0,24.400139,21.0,37.234
21.0,24.300138,21.0,37.203
21.0,24.200138,21.0,37.172
21.0,24.100138,21.0,37.141
21.0,24.000137,21.0,37.11
21.0,23.900137,21.0,37.079
21.0,23.800137,21.0,37.048
21.0,23.700136,21.0,37.017
21.0,23.600136,21.0,36.986
21.0,23.500135,21.0,36.955
21.0,23.400135,21.0,36.924
21.0,23.300135,21.0,36.893
21.0,23.200134,21.0,36.862
21.0,23.100134,21.0,36.831
21.0,23.000134,21.0,36.8
21.0,22.900133,21.0,36.769
21.0,22.800133,21.0,36.738
21.0,22.700132,21.0,36.707
21.0,22.600132,21.0,36.676
21.0,22.500132,21.0,36.645
21.0,22.400131,21.0,36.614
21.0,22.300131,21.0,36.583
21.0,22.20013,21.0,36.552
21.0,22.10013,21.0,36.521
21.0,22.00013,21.0,36.49
21.0,21.900129,21.0,36.459
21.0,21.800129,21.0,36.428
21.0,21.700129,21.0,36.397
21.0,21.600128,21.0,36.366
21.0,21.500128,21.0,36.335
21.0,21.400127,21.0,36.304
21.0,21.300127,21.0,36.272999999999996
21.0,21.200127,21.0,36.242
21.0,21.100126,21.0,36.211
21.0,21.000126,21.0,36.18
21.0,20.900126,21.0,36.149
21.0,20.800125,21.0,36.118
21.0,20.700125,21.0,36.087
21.0,20.600124,21.0,36.056
21.0,20.500124,21.0,36.025
21.0,20.400124,21.0,35.994
21.0,20.300123,21.0,35.963
21.0,20.200123,21.0,35.932
21.0,20.100122,21.0,35.900999999999996
21.0,20.000122,21.0,35.87
21.0,19.900122,21.0,35.839
21.0,19.800121,21.0,35.808
21.0,19.700121,21.0,35.777
21.0,19.600121,21.0,35.746
21.0,19.50012,21.0,35.715
21.0,19.40012,21.0,35.684
21.0,19.300119,21.0,35.653
21.0,19.200119,21.0,35.622
21.0,19.100119,21.0,35.591
21.0,19.000118,21.0,35.56
21.0,18.900118,21.0,35.528999999999996
21.0,18.800117,21.0,35.498
21.0,18.700117,21.0,35.467
21.0,18.600117,21.0,35.436
21.0,18.500116,21.0,35.405
21.0,18.400116,21.0,35.374
21.0,18.300116,21.0,35.343
21.0,18.200115,21.0,35.312
21.0,18.100115,21.0,35.281
21.0,18.000114,21.0,35.25
21.0,17.900114,21.0,35.219
21.0,17.800114,21.0,35.188
21.0,17.700113,21.0,35.157
21.0,17.600113,21.0,35.126
21.0,17.500113,21.0,35.095
21.0,17.400112,21.0,35.064
21.0,17.300112,21.0,35.033
21.0,17.200111,21.0,35.002
21.0,17.100111,21.0,34.971000000000004
21.0,17.000111,21.0,34.94
21.0,16.90011,21.0,34.909
21.0,16.80011,21.0,34.878
21.0,16.700109,21.0,34.847
21.0,16.600109,21.0,34.816
21.0,16.500109,21.0,34.785
21.0,16.400108,21.0,34.754
21.0,16.300108,21.0,34.723
21.0,16.200108,21.0,34.692
21.0,16.100107,21.0,34.661
21.0,16.000107,21.0,34.63
21.0,15.900106,21.0,34.599000000000004
21.0,15.800106,21.0,34.568
21.0,15.700106,21.0,34.537
21.0,15.600105,21.0,34.506
21.0,15.500105,21.0,34.475
21.0,15.400105,21.0,34.444
21.0,15.300104,21.0,34.413
21.0,15.200104,21.0,34.382
21.0,15.100103,21.0,34.351
21.0,15.000103,21.0,34.32
21.0,14.900103,21.0,34.289
21.0,14.800102,21.0,34.258
21.0,14.700102,21.0,34.227000000000004
21.0,14.600101,21.0,34.196
21.0,14.500101,21.0,34.165
21.0,14.400101,21.0,34.134
21.0,14.3001,21.0,34.103
21.0,14.2001,21.0,34.072
21.0,14.1001,21.0,34.041
21.0,14.000099,21.0,34.01
21.0,13.900099,21.0,33.979
21.0,13.800098,21.0,33.948
21.0,13.700098,21.0,33.917
21.0,13.600098,21.0,33.885999999999996
21.0,13.500097,21.0,33.855000000000004
21.0,13.400097,21.0,33.824
21.0,13.300097,21.0,33.793
21.0,13.200096,21.0,33.762
21.0,13.100096,21.0,33.731
21.0,13.000095,21.0,33.7
21.0,12.900095,21.0,33.669
21.0,12.800095,21.0,33.638
21.0,12.700094,21.0,33.607
21.0,12.600094,21.0,33.576
21.0,12.500093,21.0,33.545
21.0,12.400093,21.0,33.513999999999996
21.0,12.300093,21.0,33.483000000000004
21.0,12.200092,21.0,33.452
21.0,12.100092,21.0,33.421
21.0,12.000092,21.0,33.39
21.0,12.000092,21.0,33.359
21.0,12.000092,21.0,33.328
21.0,12.000092,21.0,33.297
21.0,12.000092,21.0,33.266
21.0,12.000092,21.0,33.235
21.0,12.000092,21.0,33.204
21.0,12.000092,21.0,33.173
21.0,12.000092,21.0,33.141999999999996
21.0,12.000092,21.0,33.111000000000004
21.0,12.000092,21.0,33.08
21.0,12.000092,21.0,33.049
21.0,12.000092,21.0,33.018
21.0,12.000092,21.0,32.987
21.0,12.000092,21.0,32.956
21.0,12.000092,21.0,32.925
21.0,12.000092,21.0,32.894
21.0,12.000092,21.0,32.863
21.0,12.000092,21.0,32.832
21.0,12.000092,21.0,32.801
21.0,12.000092,21.0,32.769999999999996
21.0,12.000092,21.0,32.739000000000004
21.0,12.000092,21.0,32.708
21.0,12.000092,21.0,32.677
21.0,12.000092,21.0,32.646
21.0,12.000092,21.0,32.615
21.0,12.000092,21.0,32.584
21.0,12.000092,21.0,32.553
21.0,12.000092,21.0,32.522
21.0,12.000092,21.0,32.491
21.0,12.000092,21.0,32.46
21.0,12.000092,21.0,32.429
21.0,12.000092,21.0,32.397999999999996
21.0,12.000092,21.0,32.367000000000004
21.0,12.000092,21.0,32.336
21.0,12.000092,21.0,32.305
21.0,12.000092,21.0,32.274
21.0,12.000092,21.0,32.243
21.0,12.000092,21.0,32.212
21.0,12.000092,21.0,32.181
21.0,12.000092,21.0,32.15
21.0,12.000092,21.0,32.119
21.0,12.000092,21.0,32.088
